l.p.,Data wylotu,"LiczbaPAX",Dysponent,Trasa,Data przylotu,"Typ statkupowietrznego",Uwagi
1.,30.11.2007,51(52),D.Tusk,Waw Wilno Waw,30.11.2007,TU,na koszt KPRM
2.,4.12.2007,,D.Tusk,Waw Bruksela Waw,4.12.2007,TU,ANULOWANE
3.,7.12.2007,55(53),D.Tusk,Waw Rzym Gdańsk Waw,7.12.2007,TU,na koszt KPRM
4.,9.12.2007,24(28),D.Tusk,Waw Gdańsk Ostrawa Waw,10.12.2007,TU,na koszt KPRM
5.,13.12.2007,,D.Tusk,Waw Lizbona Waw,13.12.2007,TU,ANULOWANE
6.,14.12.2007,,D.Tusk,Waw Bruksela Waw,14.12.2007,TU,ANULOWANE
7.,3.12.2007,6(9)(12),D.Tusk,Waw Gdańsk Katowice Waw,3.12.2007,TU,na koszt KPRM
8.,1.12.2007,5,D.Tusk,Gdańsk Waw Gdańsk,3.12.2007,TU,na koszt KPRM
9.,11.12.2007,45,D.Tusk,Waw Berlin Waw,11.12.2007,TU,na koszt KPRM
10.,12.12.2007,,D.Tusk,Waw Paryż Waw,12.12.2007,TU,ANULOWANE
11.,12.12.2007,8(55)(55)(5,)D.Tusk,Waw Paryż Lizbona Bruksela Gdańsk Waw,14.12.2007,TU,na koszt KPRM
12.,19.12.2007,32(22),D.Tusk,Irak,19.12.2007,TU,na koszt KPRM
13.,21.12.2007,,D.Tusk,Waw Wrocław,,TU,na koszt KPRM
14.,10.01.2008,48(46),Premier,Waw Praga Waw,10.01.2008,TU,na koszt KPRM
15.,18.01.2008,42,Premier,Waw Bratysława Waw,18.01.2008,TU,na koszt KPRM
16.,24.01.2008,,Premier,Waw Szczecin Waw,24.01.2008,TU,na koszt KPRM
17.,8.02.2008,95,Premier,Waw Moskwa Gdańsk Waw,8.02.2008,TU,na koszt KPRM
18.,18.02.2008,7,Premier,Gdańsk Świdwin Waw,15.02.2008,W3,na koszt KPRM
19.,24.02.2008,13,Premier,Gdańsk Waw,24.02.2008,YK,na koszt KPRM
20.,22.02.2008,13,Premier,Waw Gdańsk Waw,24.02.2008,YK,na koszt KPRM
21.,7.03.2008,,Premier,USA,12.03.2008,TU,ANULOWANE
22.,13.03.2008,,Premier,Bruksela,14.03.2008,TU,ANULOWANE
23.,1.03.2008,7,Premier,Waw Gdańsk,,YK,na koszt KPRM
24.,20.03.2008,44,Premier,Waw Lublana Waw Gdańsk,20.03.2008,TU,na koszt KPRM
25.,9.03.2008,7,Premier,Gdańsk Waw,9.03.2008,YK,na koszt KPRM
26.,28.03.2008,?,Premier,Waw Kijów Gdańsk Waw,28.03.2008,TU,na koszt KPRM
27.,14.03.2008,,Premier,Waw Gdańsk,,TU,na koszt KPRM
28.,28.03.2008,12,Premier,Waw Gdańsk Waw,31.03.2008,YK,na koszt KPRM
29.,8.04.2008,58,Premier,Waw Tel Awiw Waw,10.04.2008,TU,na koszt KPRM
30.,4.04.2008,1,Premier,Waw Gdańsk,,YK,na koszt KPRM
31.,18.04.2008,13,Premier,Waw Gdańsk,,YK,na koszt KPRM
32.,25.04.2008,5,Premier,Waw Gdańsk,,YK,na koszt KPRM
33.,30.04.2008,,Premier,Waw Gdańsk,,YK,na koszt KPRM
34.,14.05.2008,43,Premier,Waw Lima Santiago de Chile Waw,20.05.2008,TU,na koszt KPRM
36.,3.05.2008,5,Premier,Gdansk Waw,3.05.2008,YK,ANULOWANO
37.,2.05.2008,,Premier,Waw Gdańsk,2.05.2008,YK,na koszt KPRM
38.,9.05.2008,6,Premier,Waw Gdańsk,,YK,na koszt KPRM
39.,12.05.2008,12,Premier,Gdansk Waw,12.05.2008,YK,na koszt KPRM
40.,21.05.2008,7,Premier,Waw Gdańsk,21.05.2008,YK,na koszt KPRM
41.,23.05.2008,11,Premier,Gdańsk Waw Gdańsk,23.05.2008,YK,na koszt KPRM
42.,4.06.2008,13,Premier,Waw Ryga Waw,4.06.2008,YK,na koszt KPRM
43.,15.06.2008,,Premier,Waw Praga Gdańsk Waw,16.06.2008,TU,na koszt KPRM
44.,19.06.2008,15,Premier,Waw Bruksela Gdańsk Waw,20.06.2008,YK,na koszt KPRM
45.,13.06.2008,9,Premier,Waw Gdańsk,,YK,na koszt KPRM
46.,27.06.2008,7,Premier,Waw Gdansk,27.06.2008,YK,na koszt KPRM
47.,4.07.2008,,Premier,Waw Gdańsk,,YK,na koszt KPRM
48.,11.07.2008,7 (11),Premier,Waw Gdańsk Waw,14.07.2008,YK,na koszt KPRM
