L.p.,"Rodzaj statkupowietrznego",Termin,Trasa przelotu
1.,EMB,29-30.11.2015,WAW-BRU-LBG-WAW
2.,EMB,03.12.2015,WAW-PRG-KRK
3.,EMB,17-18.12.2015,WAW-BRU-WAW
4.,EMB,18-19.01.2016,WAW-SXB-WAW
5.,EMB,02.02.2016,WAW-OSL-WAW
6.,EMB,03-04.02.2016,WAW-LBG-STN-WAW
7.,EMB,08.02.2016,WAW-BUD-WAW
8.,EMB,12.02.2016,WAW-TXL-KRK
9.,EMB,15.02.2016,KRK-PRG-WAW
10.,EMB,18-20.02.2016,WAW-BRU-KTW
11.,EMB,07-08.03.2016,WAW-BRU-WAW
12.,EMB,16-18.03.2016,WAW-BRU-KRK
13.,EMB,30.03.2016,WAW-RZE-WAW
14.,EMB,04.04.2016,WAW-SZZ-WAW
15.,W-3 Sokół,12.04.2016,EPWA-EPKK-EPWA
16.,EMB,14-15.04.2016,WAW-POZ-KRK
17.,EMB,18.04.2016,WAW-KRK-WAW
18.,W-3 Sokół,28.04.2016,EPWA-EPST-EPWA
19.,EMB,12-13.05.2016,WAW-CIA-KRK
20.,W-3 Sokół,19.05.2016,EPWA-EPKK-EPWA
21.,EMB,22-23.05.2016,KRK-IST-WAW
22.,EMB,08.06.2016,WAW-PRG-SZZ
23.,CASA,09.06.2016,EPSC-EPWA
24.,EMB,18.06.2016,WAW-SZZ-KRK
25.,EMB,22.06.2016,WAW-TXL-WAW
26.,W-3 Sokół,24.06.2016,EPWA-EPKK
27.,EMB,27-29.06.2016,WAW-BRU-WAW
28.,W-3 Sokół,11.07.2016,EPKK-EPWA-EPKK
29.,B-737 czarter,14-16.07.2016,WAW-ULN-WAW
30.,W-3 Sokół,16.07.2016,EPWA-EPKK
31.,W-3 Sokół,18-19.07.2016,EPKK-EPWA
32.,W-3 Sokół,22.07.2016,EPWA-EPKK
33.,W-3 Sokół,25.07.2016,EPKK-EPWA
34.,W-3 Sokół,26.07.2016,EPWA-EPKK
35.,EMB,28.07.2016,WAW-KTW
36.,W-3 Sokół,01.08.2016,EPWA-Jurata
37.,W-3 Sokół,01.08.2016,EPKK-EPWA
38.,W-3Sokół/CASA,05.08.2016,EPGD-EPWA-EPKK-EPGD
39.,CASA,15.08.2016,EPKK-EPWA
40.,CASA,16.08.2016,EPWA-EPKK
