L.p.,Rodzaj statku powietrznego,Termin,Trasa przelotu
1.,EMB-175,14-15.12.2017,WAW-BRU-WAW
2.,EMB-175,16-17.12.2017,WAW-GDN-SZZ-WAW
3.,EMB-175,18.12.2017,WAW-KRK-WAW
4.,EMB-175,21.12.2017,WAW-KTW-WAW
5.,EMB-175,22-23.12.2017,WAW-WRO-WAW
6.,EMB-175,03.01.2018,WAW-BUD-WAW
7.,EMB-175,09-10.01.2018,WAW-BRU-WAW
8.,EMB-175,23-26.01.2018,WAW-ZRH-BUD-WRO-WAW
9.,CASA,26.01.2018,EPWR-EPWA
10.,EMB-175,27.01.2018,WAW-KRK-WAW
11.,EMB-175,02.02.2018,WAW-RZE-WAW
12.,EMB-175,09.02.2018,WAW-SZY-WAW
13.,EMB-175,11.02.2018,WAW-LUZ-WAW
14.,EMB-175,12-13.02.2018,WAW-BEY-WAW
15.,EMB-175,16.02.2018,WAW-TXL-WAW
16.,EMB-175,17.02.2018,WAW-MUC-WRO-WAW
17.,EMB-175,18.02.2018,WAW-KRK-WAW
18.,EMB-175,22-23.02.2018,WAW-BRU-WAW
19.,EMB-175,27.02.2018,WAW-POZ-WAW
20.,EMB-175,08-09.03.2018,WAW-BRU-VNO-WAW
21.,EMB-175,14.03.2018,WAW-WRO-WAW
22.,EMB-175,18.03.2018,WAW-KTW-WAW
23.,EMB-175,21.03.2018,WAW-RZE-WAW
24.,EMB-175,22-23.03.2018,WAW-BRU-WAW
25.,EMB-175,29.03.2018,WAW-SZY-WAW
26.,CASA,30.03.2018,EPWA-EPWR-EPWA
27.,EMB-175,06.04.2018,WAW-BUD-WAW
28.,EMB-175,15.04.2018,WAW-KRK-WAW
29.,EMB-175,18.04.2018,WAW-WRO-KRK-WAW
30.,CASA,28.04.2018,EPWA-EPZG; EPOK-EPWA
31.,EMB-175,02.05.2018,WAW-RZE-WAW
32.,CASA,03.05.2018,EPWA-EPOK
33.,EMB-175,05.05.2018,WAW-KTW-WAW
34.,CASA,05.05.2018,EPOK-EPWA
35.,EMB-175,15.05.2018,WAW-KTW-WAW
36.,EMB-175,16-17.05.2018,WAW-SOF-WAW
37.,EMB-175,20.05.2018,WAW-GDN-WAW
38.,EMB-175,23.05.2018,WAW-WRO-WAW
39.,EMB-175,26.05.2018,LUZ-WRO
40.,EMB-175,30.05.2018,WAW-RZE-WAW
41.,EMB-175,02.06.2018,WAW-SZZ-WRO-WAW
42.,EMB-175,03.06.2018,WAW-PLQ-TLL-WAW
43.,EMB-175,04.06.2018,WAW-CIA-WAW
44.,EMB-175,09.06.2018,WAW-WRO-WAW
