source,screenName,n
Twitter for android 3016,PO_Suwalki,19
Twitter for Android 0090,PO_Kolno,18
Twitter for Android 1234,PO_Bielsk,18
Twitter for android 3451,PO_Siemiatycze,18
Twitter for Android 7789,PO_Monki,18
Twitter for Android 9978,PO_Grajewo,18
Twitter for Android 1199,PO_WysMaz,17
Twitter for Android 4456,PO_Sokolka,16
Twitter for Android 3335,PO_Sejny,15
Twitter for Android 6778,PO_Lomza,8
Twitter for Android B002,ChelminskaPO,6
Twitter for Android 4433,PO_Zambrow,5
Twitter for Android 5678,PORPBialystok,5
Twitter for Android A295,EmiliaWrbel2,5
Twitter for Android (2314),olkapolka19,4
Twitter for Android A72,KarolinaJasis,4
Twitter for Android A864,EsteraBorkowska,4
Twitter for Android12345xd,PO_szamotulski,4
Twitter for Iphone 5 (24593u584),romanka_roma,4
Twitter for Android 12345,PO_Wielkopolska,3
Twitter for Android 12345i,PO_kolski,3
Twitter for Android 12345j,PO_koninski,3
Twitter for Android 3245,po_wejherowo,3
Twitter for Android 5634,po_chojnice,3
Twitter for Android A001,TorunskaPO,3
Twitter for Android A01,AnnaMic32,3
Twitter for Android A015,POGolubDob,3
Twitter for Android A016,LipnoPo,3
Twitter for Android A09,Now53Ala,3
Twitter for Android A11,MartaZawadzka14,3
Twitter for Android A27,NadiaGorska,3
Twitter for Android A52,AnetaOlszewska8,3
Twitter for Android A566,sobczak_iwona,3
Twitter for Android A640,JoannaKozowska7,3
Twitter for Android A652,GraynaMajewska3,3
Twitter for Android A712,NataliaChmiel13,3
Twitter for Android B005,POWloclawek,3
Twitter for Android B007,POSepolenski,3
Twitter for Android B11,W18Adam,3
Twitter for Android B6,leszekw3,3
Twitter for Android12345l,PO_krotoszynski,3
Twitter for Android12345xe,PO_sredzki,3
Twitter for Iphone - 2455,majkelo10,3
Twitter for Iphone 3698,po_grojecki,3
Twitter for Iphone 5 (59849),krysia_tam,3
Twitter for Iphone 7256,po_legionowski,3
Twitter for Iphone 7415,po_mazowsze,3
Twitter for Android 0987,PO_Hajnowka,2
Twitter for Android 12345h,PO_kepinski,2
Twitter for Android 145,mariusz97z,2
Twitter for Android 1632,Namyslow_PO,2
Twitter for Android 1912,Platforma_KK,2
Twitter for Android 2056,PO_Skarzysko,2
Twitter for Android 2438,PO_Jedrzejow,2
Twitter for Android 3871,AnkelDominika,2
Twitter for Android 61,lina38pl,2
Twitter for Android 8723,po_czluchow,2
Twitter for Android 9034,platformatczew,2
Twitter for Android 9588473,lena1_magda,2
Twitter for Android A008,SwieckaPO,2
Twitter for Android A009,POTuchola,2
Twitter for Android A011,POMogilno,2
Twitter for Android A018,POBydgoszcz,2
Twitter for Android A021,AmandaWie2,2
Twitter for Android A03,HannaWalczak1,2
Twitter for Android A04,basia_zielinska,2
Twitter for Android A070,WroblewskaLaura,2
Twitter for Android A099,iga_maciejewska,2
Twitter for Android A243,dudek_andzelika,2
Twitter for Android A402,GabrielaKwiatk5,2
Twitter for Android A46,EdytaMich,2
Twitter for Android A611,KarolinKam5,2
Twitter for Android A73,majewska_zofia,2
Twitter for Android A934,JagodaDbrowska2,2
Twitter for Android A953,Domisia32,2
Twitter for Android B004,PORypin,2
Twitter for Android B010,ZninskaPO,2
Twitter for Android B12,AdrianUrbaski4,2
Twitter for Android B14,AlbertK186,2
Twitter for Android B15,AndrzejG19,2
Twitter for Android B16,L62Damian,2
Twitter for Android B19,M83Kamil,2
Twitter for Android m06012,NTargPO,2
Twitter for Android m06021,POWieliczka,2
Twitter for Android m0606,POGorlice,2
Twitter for Android123,PO_Leszno,2
Twitter for Android12345o,PO_nowotomyski,2
Twitter for Android12345t,PO_pilski,2
Twitter for Android12345w,PO_Pleszewski,2
Twitter for Android12345xa,PoPoznanski,2
Twitter for Android12345xf,PO_sremski,2
Twitter for Android12345xk,PO_Poznan,2
Twitter for Android12345xm,PO_Kalisz,2
Twitter for Android123b,PO_rawicki,2
Twitter for Android123d,POmiedzychodzki,2
Twitter for Iphone (2582800A),nikola_188,2
Twitter for Iphone (937472),aniakucz1,2
Twitter for Iphone 1852,po_ciechanowski,2
Twitter for Iphone 3589,po_lipski,2
Twitter for Iphone 4c,helenkapl44,2
Twitter for Iphone 4s,ewka_ewka2,2
Twitter for Iphone 5 (v874),myadamski,2
Twitter for Iphone 6951,po_zurominski,2
Twitter for Iphone 7147,po_ostroleka,2
Twitter for iPhone v2,POSzczecin,2
Twitter for Iphoneb0,PO_Braniewski,2
Twitter for Iphoneb4,PO_Bartoszycki,2
