text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Bardzo dobry komentarz do obecnej sytuacji w Polsce. https://t.co/pmgAjk4UKL przez @YouTube #AndrzejDuda #weto #zamachlipcowy #pisorgpl,FALSE,0,NA,2017-07-24T10:23:36Z,FALSE,NA,889430861216710656,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",IlFaulkner,0,FALSE,FALSE,NA,NA
@AndrzejDuda zawetuje ustawƒô o KRS i SN - o≈õwiadczenie Prezydenta #3xweto #ZamachLipcowy #WolneSady,FALSE,0,AndrzejDuda,2017-07-24T08:18:51Z,FALSE,NA,889399464506556416,202086424,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CoolturaUK,0,FALSE,FALSE,NA,NA
#ZamachLipcowy  i #Ciamajdan2 : @SchetynadlaPO @RyszardPetru @KosiniakKamysz @Kom_Obr_Dem @JoankaSW @gazeta_wyborcza jeste≈õcie #totalzero,FALSE,0,NA,2017-07-23T16:40:42Z,FALSE,NA,889163373157515266,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mac_bratkowski,0,FALSE,FALSE,NA,NA
Nas tu czeka Argentyna z Ukraina i Gruzja razem wziete #Polska #ZamachLipcowy,FALSE,0,NA,2017-07-23T11:33:40Z,FALSE,NA,889086104267366400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KosiHoops,0,FALSE,FALSE,NA,NA
"I jak to siƒô ma do #ZamachLipcowy ?

#PAD #3xTAK https://t.co/LRJ7aNd5vG",FALSE,0,NA,2017-07-23T10:01:05Z,FALSE,NA,889062806804451328,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mac_bratkowski,0,FALSE,FALSE,NA,NA
"@Exen ≈ömiaƒá siƒô z #AstroTurfing, wierzyƒá w #ZamachLipcowy. Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç #jprdl",FALSE,0,Exen,2017-07-23T08:48:29Z,FALSE,889036519440297984,889044535984181249,16847779,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BedonUlv,0,FALSE,FALSE,NA,NA
"An insult to the intelligence of the ppl of #Poland 

#3xWeto #WolneSady #ZamachLipcowy #CandlelightRevolution https://t.co/SK8RkYkIRi",FALSE,1,NA,2017-07-22T22:11:13Z,FALSE,NA,888884161913643009,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MiraWroblewski,0,FALSE,FALSE,NA,NA
#CandlelightRevolution #Zamachlipcowy #Solidarnosc #JeszczePolskaNieZginela https://t.co/ZpXOvYAz0Y,FALSE,0,NA,2017-07-22T21:23:39Z,FALSE,NA,888872189495189504,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiraWroblewski,0,FALSE,FALSE,NA,NA
#CandlelightRevolution #Zamachlipcowy #Solidarnosc #JeszczePolskaNieZginela https://t.co/SZPT0Yxl7d,FALSE,1,NA,2017-07-22T21:23:07Z,FALSE,NA,888872056757956610,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiraWroblewski,0,FALSE,FALSE,NA,NA
#CandlelightRevolution #Zamachlipcowy #Solidarnosc #JeszczePolskaNieZginela https://t.co/9FRERQ7CQ5,FALSE,0,NA,2017-07-22T21:19:54Z,FALSE,NA,888871246699483136,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiraWroblewski,0,FALSE,FALSE,NA,NA
"From Australia, in Solidarity with #Poland 's #CandlelightRevolution !

#Zamachlipcowy #Solidarnosc

https://t.co/17u9grrXgZ",FALSE,0,NA,2017-07-22T21:14:42Z,FALSE,NA,888869939745914880,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiraWroblewski,0,FALSE,FALSE,NA,NA
#Zamachlipcowy https://t.co/Fz4IDkJg4N,FALSE,0,NA,2017-07-22T21:13:03Z,FALSE,NA,888869524656734208,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MiraWroblewski,0,FALSE,FALSE,NA,NA
Even the State Department condemned PiS' evisceration of separation of powers. #ZamachLipcowy https://t.co/YJ98HwCjmJ,FALSE,0,crywolf33,2017-07-22T02:44:24Z,FALSE,888587918255820800,888590522159427584,53190110,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",crywolf33,2,FALSE,FALSE,NA,NA
Ì†ºÌ∑µÌ†ºÌ∑±MY JESTE≈öMY KONSTYTUCJƒÑ! W≈Çadza zwierzchnia w Rzeczypospolitej Polskiej nale≈ºy do Narodu.Ì†ΩÌ±®‚ÄçÌ†ΩÌ±©‚ÄçÌ†ΩÌ±ß‚ÄçÌ†ΩÌ±ß #ZamachLipcowy https://t.co/6fMAV4cPjx,FALSE,4,NA,2017-07-21T21:49:28Z,FALSE,NA,888516300594700288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PadisahAslan,0,FALSE,FALSE,NA,NA
Gra siƒô toczy o Miƒôdzymorze. Opcja niemiecka nie odpuszcza. Stronnictwo ruskie walczy. Po≈ÇƒÖczyli si≈Çy. IdƒÖ razem. #ZamachLipcowy,FALSE,36,NA,2017-07-21T04:50:08Z,FALSE,NA,888259775682695175,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MariazMagdali3,16,FALSE,FALSE,NA,NA
"Parlamentarny DANCE MACABRE #PiS.u
Polska nie wybaczy, Polska nie zapomni, Polska rozliczy.
Gowin siƒô sypie i bƒôdƒÖ nastƒôpni!
#ZamachLipcowy",FALSE,0,NA,2017-07-20T22:07:32Z,FALSE,NA,888158458557722630,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Podkanski_S,0,FALSE,FALSE,NA,NA
