description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,profileImageUrl
Nie oglƒÖdam publicystyki w TV. Mocno z przymru≈ºeniem oka. Pyra z Poznania.,68670,3966,80361,849,NA,Mandark Ì†ºÌ∑µÌ†ºÌ∑±,2014-11-09T12:49:20Z,FALSE,FALSE,XKubiak,"Las Vegas, NV",en,2868890507,47,FALSE,http://pbs.twimg.com/profile_images/817498652100952064/AXPPe8aA_normal.jpg
,739,2,1144,144,NA,Zenon,2017-07-24T08:20:23Z,FALSE,FALSE,ZenonIksinski,,pl,889399849938038784,0,FALSE,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Owner w obszarze DOOH oraz developerki. Narodowo≈õƒá ≈õlƒÖska, obywatel Niemiec i Polski.",20757,1306,6604,958,NA,Mateusz z Katowic,2013-02-15T10:36:45Z,FALSE,FALSE,Mat_z_Katowic,"Oyten, Deutschland",pl,1181982529,16,FALSE,http://pbs.twimg.com/profile_images/3255967820/332c885819ad195bd8c828f3c1d59968_normal.jpeg
"Pose≈Ç, cz≈Çonek Komisji Spraw Zagranicznych i ds. Unii Europejskiej, wiceprzewodniczƒÖcy polsko-niemieckiej grupy parlamentarnej",2615,1728,6479,732,https://t.co/brFefLhC6P,Marek KrzƒÖka≈Ça,2011-08-29T15:31:07Z,FALSE,FALSE,MarekKrzakala,"Rybnik, Warszawa",de,364316079,35,FALSE,http://pbs.twimg.com/profile_images/689795820527300608/aOMl51W8_normal.jpg
"Co robiƒá, gdy ≈ºycie poczƒôte jest wrogiem ojczyzny?",17220,180,19039,238,https://t.co/3DSc3IZYWr,Perwersyjny Pomidor,2016-01-30T15:40:34Z,FALSE,FALSE,perwersyjny,"Warszawa, Polska",pl,4864088451,0,FALSE,http://pbs.twimg.com/profile_images/889764033049620480/sxg4rnGz_normal.jpg
"zwolenniku PiSu: Kiedy przeskoczysz, to i wtedy nie m√≥w hop. Zobacz najpierw w co wskoczy≈Çes J.T. Pytam po 2 latach, czy zobaczy≈Çe≈õ ?",43021,1108,36227,696,NA,maria napps,2012-02-23T19:02:44Z,FALSE,FALSE,marianapiorkows,Warszawa,pl,501057882,11,FALSE,http://pbs.twimg.com/profile_images/889003492161069056/RdfKa-1d_normal.jpg
Sekretarz Stowarzyszenia M≈Çodzi Demokraci w Wielkopolsce oraz PrzewodniczƒÖcy Komisji Rewizyjnej w kraju. Cz≈Çonek PO.,2086,304,505,632,NA,Damian Urbaniak,2011-09-01T13:05:58Z,FALSE,FALSE,DamianUrbaniak,Pozna≈Ñ,en,366030207,6,FALSE,http://pbs.twimg.com/profile_images/861572201832730627/BwiM5lGJ_normal.jpg
mgr in≈º. mechanik,152,12,2702,68,NA,StanislawJujka,2012-04-26T03:49:42Z,FALSE,FALSE,StaszekJujka,"Lodz, Poland",pl,563499021,0,FALSE,http://pbs.twimg.com/profile_images/783721214334406657/yWpp3nKS_normal.jpg
,8237,32,11160,187,NA,dzeison,2016-08-25T21:20:11Z,FALSE,FALSE,waksmu,"Berlin, Deutschland",pl,768920932970795008,1,FALSE,http://pbs.twimg.com/profile_images/808789460926287873/mdASl2nD_normal.jpg
mam uczulenie na pis,6898,89,10950,166,NA,mareklondon,2010-12-08T11:49:07Z,FALSE,FALSE,marek1001,uk,en,224198295,1,FALSE,http://pbs.twimg.com/profile_images/854063124403466244/dtjmuQi0_normal.jpg
Madness and Civilization,15,3,108,162,NA,Furiosa ‚ò¢,2016-12-22T06:27:47Z,FALSE,FALSE,drfuriosa,Vault City,pl,811820509226762240,2,FALSE,http://pbs.twimg.com/profile_images/811829668307464192/plAsHtJf_normal.jpg
,2222,344,2474,302,NA,atelierkati,2011-12-29T10:47:33Z,FALSE,FALSE,atelierkati,,pl,449666833,3,FALSE,http://pbs.twimg.com/profile_images/1721452902/untitled_normal.JPG
